# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 200
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 100000
2 0
7.5e-05 0.00015 1.9
0.000225 0.00015 15
0.000375 0.00015 51.6
0.000525 0.00015 66.7
0.000675 0.00015 103.9
0.000825 0.00015 125.8
0.000975 0.00015 61.6
0.001125 0.00015 27.9
0.001275 0.00015 24.8
0.001425 0.00015 37.8
0.001575 0.00015 40.6
0.001725 0.00015 43.1
0.001875 0.00015 48.9387
0.002025 0.00015 41.6
0.002175 0.00015 66.9
0.002325 0.00015 82.5
0.002475 0.00015 81.7
0.002625 0.00015 82.4
0.002775 0.00015 78.3085
0.002925 0.00015 86.5067
0.003075 0.00015 96.7
0.003225 0.00015 97.9
0.003375 0.00015 102.2
0.003525 0.00015 96.9
0.003675 0.00015 97.8
0.003825 0.00015 99.7
0.003975 0.00015 98.1348
0.004125 0.00015 114.411
0.004275 0.00015 95.9214
0.004425 0.00015 92.4
0.004575 0.00015 90.1
0.004725 0.00015 94.3295
0.004875 0.00015 101.225
0.005025 0.00015 118.7
0.005175 0.00015 120.021
0.005325 0.00015 129.2
0.005475 0.00015 98.4
0.005625 0.00015 99.1045
0.005775 0.00015 102.916
0.005925 0.00015 109.323
0.006075 0.00015 110.9
0.006225 0.00015 91.3
0.006375 0.00015 98.1183
0.006525 0.00015 105.522
0.006675 0.00015 106.031
0.006825 0.00015 98.3
0.006975 0.00015 92.0339
0.007125 0.00015 80.9
0.007275 0.00015 101.6
0.007425 0.00015 95.1412
0.007575 0.00015 92.6153
0.007725 0.00015 90.7265
0.007875 0.00015 205.2
0.008025 0.00015 729.652
0.008175 0.00015 190.602
0.008325 0.00015 71.2
0.008475 0.00015 87.6
0.008625 0.00015 88.631
0.008775 0.00015 110.1
0.008925 0.00015 157.6
0.009075 0.00015 56
0.009225 0.00015 37.3157
0.009375 0.00015 42.6
0.009525 0.00015 47.4
0.009675 0.00015 55.0001
0.009825 0.00015 50.9
0.009975 0.00015 47.1
0.010125 0.00015 36.3294
0.010275 0.00015 51.3
0.010425 0.00015 49
0.010575 0.00015 54.1
0.010725 0.00015 56.2
0.010875 0.00015 46.9156
0.011025 0.00015 53.9
0.011175 0.00015 46.7
0.011325 0.00015 45.5
0.011475 0.00015 44.9
0.011625 0.00015 46.9
0.011775 0.00015 39.7
0.011925 0.00015 34
0.012075 0.00015 36.1
0.012225 0.00015 38.2
0.012375 0.00015 39.3
0.012525 0.00015 45.8
0.012675 0.00015 44.6106
0.012825 0.00015 56
0.012975 0.00015 45.3
0.013125 0.00015 38.7
0.013275 0.00015 42.7
0.013425 0.00015 36.7
0.013575 0.00015 38.2
0.013725 0.00015 39.5
0.013875 0.00015 37.6
0.014025 0.00015 39
0.014175 0.00015 41.7
0.014325 0.00015 37.1
0.014475 0.00015 34.3
0.014625 0.00015 43.4
0.014775 0.00015 36.1
0.014925 0.00015 37.5
0.015075 0.00015 28.5
0.015225 0.00015 31.4
0.015375 0.00015 33.8
0.015525 0.00015 29.5
0.015675 0.00015 42
0.015825 0.00015 36.1
0.015975 0.00015 35.5
0.016125 0.00015 32.2
0.016275 0.00015 27.2
0.016425 0.00015 36.3
0.016575 0.00015 30.1
0.016725 0.00015 38.9
0.016875 0.00015 25.2087
0.017025 0.00015 33.6
0.017175 0.00015 30.5
0.017325 0.00015 36.2345
0.017475 0.00015 25.6
0.017625 0.00015 35.2
0.017775 0.00015 26.6
0.017925 0.00015 25.6
0.018075 0.00015 27.9491
0.018225 0.00015 30.5
0.018375 0.00015 22.6
0.018525 0.00015 27.9
0.018675 0.00015 26.2
0.018825 0.00015 31.9
0.018975 0.00015 30.2
0.019125 0.00015 29
0.019275 0.00015 29.1
0.019425 0.00015 29.7
0.019575 0.00015 25.7
0.019725 0.00015 27.4
0.019875 0.00015 28.9
0.020025 0.00015 25.1
0.020175 0.00015 33.4
0.020325 0.00015 27.7
0.020475 0.00015 31.1
0.020625 0.00015 19.5
0.020775 0.00015 23.3
0.020925 0.00015 25.3
0.021075 0.00015 28.3
0.021225 0.00015 24.7
0.021375 0.00015 19.5
0.021525 0.00015 19.7
0.021675 0.00015 23.4
0.021825 0.00015 13.4
0.021975 0.00015 18.9
0.022125 0.00015 23.5
0.022275 0.00015 26.3
0.022425 0.00015 19.7
0.022575 0.00015 28.1
0.022725 0.00015 26.7
0.022875 0.00015 23.7
0.023025 0.00015 25.3
0.023175 0.00015 20.6209
0.023325 0.00015 19.2
0.023475 0.00015 21
0.023625 0.00015 27.1
0.023775 0.00015 18.7
0.023925 0.00015 18.5
0.024075 0.00015 20.8
0.024225 0.00015 24.6115
0.024375 0.00015 18.7
0.024525 0.00015 21.6
0.024675 0.00015 22.9
0.024825 0.00015 14.3
0.024975 0.00015 16.8
0.025125 0.00015 13.7
0.025275 0.00015 17.5
0.025425 0.00015 8.5
0.025575 0.00015 16.3
0.025725 0.00015 16
0.025875 0.00015 17.4
0.026025 0.00015 17.8
0.026175 0.00015 14.9
0.026325 0.00015 17
