#Energy	μ/ρ	μ
# (MeV)	(cm2/g)	(1/cm)
1.00E+03	9.86E+03	87788.34
1.00E+03	9.75E+03	86879.724
1.01E+03	9.65E+03	85997.832
1.01E+03	1.10E+04	97898.92
1.50E+03	4.23E+03	37716.472
2.00E+03	2.05E+03	18252.492
3.00E+03	7.09E+02	6319.3352
4.00E+03	3.28E+02	2923.6056
5.00E+03	1.79E+02	1597.2044
6.00E+03	1.09E+02	970.972
8.00E+03	4.95E+01	441.12416
8.33E+03	4.43E+01	394.44624
8.33E+03	3.29E+02	2934.2952
1.00E+04	2.09E+02	1861.772
1.50E+04	7.08E+01	630.77548
2.00E+04	3.22E+01	286.8376
3.00E+04	1.03E+01	92.10872
4.00E+04	4.60E+00	40.9768
5.00E+04	2.47E+00	22.038392
6.00E+04	1.51E+00	13.468896
8.00E+04	7.31E-01	6.5081848
1.00E+05	4.44E-01	3.955152
1.50E+05	2.21E-01	1.9668864
2.00E+05	1.58E-01	1.4092456
3.00E+05	1.15E-01	1.0279832
4.00E+05	9.77E-02	0.8698662
5.00E+05	8.70E-02	0.77481784
6.00E+05	7.94E-02	0.70765152
8.00E+05	6.89E-02	0.61385028
1.00E+06	6.16E-02	0.5487328
1.25E+06	5.49E-02	0.48940552
1.50E+06	5.02E-02	0.4467362
2.00E+06	4.39E-02	0.39079396
3.00E+06	3.75E-02	0.3336046
4.00E+06	3.44E-02	0.30679152
5.00E+06	3.29E-02	0.29298412
6.00E+06	3.21E-02	0.2859468
8.00E+06	3.16E-02	0.28184912
1.00E+07	3.19E-02	0.2837198
1.50E+07	3.32E-02	0.2957456
2.00E+07	3.48E-02	0.30964208
