# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 600
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 100000
2 0
5e-05 0.0001 0
0.00015 0.0001 0
0.00025 0.0001 0
0.00035 0.0001 0
0.00045 0.0001 0
0.00055 0.0001 0
0.00065 0.0001 0
0.00075 0.0001 0
0.00085 0.0001 0
0.00095 0.0001 0
0.00105 0.0001 0
0.00115 0.0001 0
0.00125 0.0001 0
0.00135 0.0001 0
0.00145 0.0001 0
0.00155 0.0001 0
0.00165 0.0001 0
0.00175 0.0001 0
0.00185 0.0001 0
0.00195 0.0001 0
0.00205 0.0001 0
0.00215 0.0001 0
0.00225 0.0001 0
0.00235 0.0001 0
0.00245 0.0001 0
0.00255 0.0001 0
0.00265 0.0001 0
0.00275 0.0001 0
0.00285 0.0001 0
0.00295 0.0001 0
0.00305 0.0001 0
0.00315 0.0001 0
0.00325 0.0001 0
0.00335 0.0001 0
0.00345 0.0001 0
0.00355 0.0001 0
0.00365 0.0001 0
0.00375 0.0001 0
0.00385 0.0001 0
0.00395 0.0001 0
0.00405 0.0001 0
0.00415 0.0001 0
0.00425 0.0001 0
0.00435 0.0001 0
0.00445 0.0001 0
0.00455 0.0001 0
0.00465 0.0001 0
0.00475 0.0001 0
0.00485 0.0001 0
0.00495 0.0001 0
0.00505 0.0001 0
0.00515 0.0001 0
0.00525 0.0001 0
0.00535 0.0001 0
0.00545 0.0001 0
0.00555 0.0001 0
0.00565 0.0001 0
0.00575 0.0001 0
0.00585 0.0001 0
0.00595 0.0001 0
0.00605 0.0001 0
0.00615 0.0001 0
0.00625 0.0001 0
0.00635 0.0001 0
0.00645 0.0001 0
0.00655 0.0001 0
0.00665 0.0001 0
0.00675 0.0001 0
0.00685 0.0001 0
0.00695 0.0001 0
0.00705 0.0001 0
0.00715 0.0001 0
0.00725 0.0001 0
0.00735 0.0001 0
0.00745 0.0001 0
0.00755 0.0001 0
0.00765 0.0001 0
0.00775 0.0001 0.1
0.00785 0.0001 0
0.00795 0.0001 0
0.00805 0.0001 0.1
0.00815 0.0001 0.1
0.00825 0.0001 0.1
0.00835 0.0001 0
0.00845 0.0001 0
0.00855 0.0001 0
0.00865 0.0001 0.2
0.00875 0.0001 0
0.00885 0.0001 0
0.00895 0.0001 0.1
0.00905 0.0001 0.1
0.00915 0.0001 0.1
0.00925 0.0001 0.1
0.00935 0.0001 0
0.00945 0.0001 0.4
0.00955 0.0001 0.2
0.00965 0.0001 0.307246
0.00975 0.0001 1.3
0.00985 0.0001 0
0.00995 0.0001 0.5
0.01005 0.0001 0.401761
0.01015 0.0001 0.710327
0.01025 0.0001 0.6
0.01035 0.0001 0.804885
0.01045 0.0001 0.6
0.01055 0.0001 0.8
0.01065 0.0001 0.7
0.01075 0.0001 0.600871
0.01085 0.0001 0.701765
0.01095 0.0001 0.8
0.01105 0.0001 1.2
0.01115 0.0001 0.9
0.01125 0.0001 2.5
0.01135 0.0001 1.3
0.01145 0.0001 0.6
0.01155 0.0001 1.22317
0.01165 0.0001 1.5
0.01175 0.0001 1.20936
0.01185 0.0001 2.00612
0.01195 0.0001 1.5
0.01205 0.0001 1.9
0.01215 0.0001 1.60672
0.01225 0.0001 1.51033
0.01235 0.0001 1.84507
0.01245 0.0001 0.5
0.01255 0.0001 2.02623
0.01265 0.0001 2.11408
0.01275 0.0001 3.51163
0.01285 0.0001 2.5
0.01295 0.0001 2.50225
0.01305 0.0001 3.21006
0.01315 0.0001 3.1
0.01325 0.0001 4
