# First line is two numbers 
#     First value is '2', it means 'histogram mode'
#     Second value is 'Emin' of the histogram
# Other lines : 2 columns. 1) energy 2) Bin Width 2) frequency (nb divided by NbEvent)
# Number of bins = 500
# Content below the first bin: 0
# Content above the last  bin: 0
# Number of events: 10000000
2 0
0.0001 0.0002 0
0.0003 0.0002 0
0.0005 0.0002 0
0.0007 0.0002 0
0.0009 0.0002 0
0.0011 0.0002 0
0.0013 0.0002 0
0.0015 0.0002 0
0.0017 0.0002 31.5956
0.0019 0.0002 14.6956
0.0021 0.0002 10.8182
0.0023 0.0002 11.3597
0.0025 0.0002 12.0352
0.0027 0.0002 15.3703
0.0029 0.0002 13.9709
0.0031 0.0002 14.4969
0.0033 0.0002 15.7125
0.0035 0.0002 15.3792
0.0037 0.0002 16.4733
0.0039 0.0002 15.2181
0.0041 0.0002 16.1988
0.0043 0.0002 20.2044
0.0045 0.0002 16.4864
0.0047 0.0002 18.3546
0.0049 0.0002 19.4182
0.0051 0.0002 16.9879
0.0053 0.0002 21.4292
0.0055 0.0002 20.7361
0.0057 0.0002 22.0402
0.0059 0.0002 21.2173
0.0061 0.0002 21.5273
0.0063 0.0002 22.1628
0.0065 0.0002 21.0058
0.0067 0.0002 16.308
0.0069 0.0002 17.4256
0.0071 0.0002 18.1422
0.0073 0.0002 15.9459
0.0075 0.0002 21.8625
0.0077 0.0002 20.1294
0.0079 0.0002 19.7559
0.0081 0.0002 20.8629
0.0083 0.0002 55.2666
0.0085 0.0002 17.5462
0.0087 0.0002 18.2866
0.0089 0.0002 16.6893
0.0091 0.0002 16.6164
0.0093 0.0002 19.0004
0.0095 0.0002 19.7925
0.0097 0.0002 36.9983
0.0099 0.0002 22.9858
0.0101 0.0002 16.9378
0.0103 0.0002 15.4974
0.0105 0.0002 14.8637
0.0107 0.0002 13.4551
0.0109 0.0002 12.1844
0.0111 0.0002 11.4304
0.0113 0.0002 14.8823
0.0115 0.0002 11.6887
0.0117 0.0002 11.6758
0.0119 0.0002 13.2409
0.0121 0.0002 10.9349
0.0123 0.0002 8.65345
0.0125 0.0002 8.99342
0.0127 0.0002 9.5223
0.0129 0.0002 10.1302
0.0131 0.0002 9.91353
0.0133 0.0002 9.88357
0.0135 0.0002 9.79169
0.0137 0.0002 9.66272
0.0139 0.0002 10.5207
0.0141 0.0002 8.72878
0.0143 0.0002 7.97667
0.0145 0.0002 9.05233
0.0147 0.0002 9.18176
0.0149 0.0002 7.73212
0.0151 0.0002 5.44963
0.0153 0.0002 8.7241
0.0155 0.0002 8.90156
0.0157 0.0002 7.40248
0.0159 0.0002 8.39702
0.0161 0.0002 7.41027
0.0163 0.0002 9.46546
0.0165 0.0002 7.94577
0.0167 0.0002 7.70125
0.0169 0.0002 6.88179
0.0171 0.0002 7.76185
0.0173 0.0002 8.46876
0.0175 0.0002 6.1674
0.0177 0.0002 7.21387
0.0179 0.0002 6.41892
0.0181 0.0002 9.46522
0.0183 0.0002 7.65674
0.0185 0.0002 6.95021
0.0187 0.0002 6.13156
0.0189 0.0002 6.70366
0.0191 0.0002 6.81838
0.0193 0.0002 7.54308
0.0195 0.0002 9.25108
0.0197 0.0002 7.23484
0.0199 0.0002 7.59033
0.0201 0.0002 5.74478
0.0203 0.0002 5.72769
0.0205 0.0002 7.75063
0.0207 0.0002 5.52907
0.0209 0.0002 5.11411
0.0211 0.0002 5.5186
0.0213 0.0002 6.6956
0.0215 0.0002 5.96021
0.0217 0.0002 5.62834
0.0219 0.0002 5.56269
0.0221 0.0002 6.88459
0.0223 0.0002 6.38377
0.0225 0.0002 6.74958
0.0227 0.0002 6.60744
0.0229 0.0002 4.73675
0.0231 0.0002 5.05183
0.0233 0.0002 3.688
0.0235 0.0002 6.15617
0.0237 0.0002 4.48469
0.0239 0.0002 5.0439
0.0241 0.0002 5.11364
0.0243 0.0002 4.54359
0.0245 0.0002 4.96397
0.0247 0.0002 4.35677
0.0249 0.0002 4.32129
0.0251 0.0002 3.78489
0.0253 0.0002 4.2381
0.0255 0.0002 4.32433
0.0257 0.0002 5.04836
0.0259 0.0002 4.64099
0.0261 0.0002 4.3445
0.0263 0.0002 5.23896
0.0265 0.0002 4.9544
0.0267 0.0002 4.23744
0.0269 0.0002 3.48259
0.0271 0.0002 4.30788
0.0273 0.0002 4.48519
0.0275 0.0002 3.27071
0.0277 0.0002 3.61206
0.0279 0.0002 3.46075
0.0281 0.0002 4.35833
0.0283 0.0002 4.06504
0.0285 0.0002 2.41999
0.0287 0.0002 3.4494
